Browser,participant,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,tasks.ran
Chrome,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.10579618842507904,0.10156434088807588,0.09733249335107272,0.09310064581406956,0.0888687982770664,0.08463695074006324,0.08040510320306007,0.07617325566605691,0.07194140812905375,0.06770956059205059,0.06347771305504743,0.05924586551804427,0.05501401798104111,0.05078217044403795,0.046550322907034786,0.042318475370031625,0.038086627833028464,0.0338547802960253,0.02962293275902214,0.02539108522201898,0.02115923768501582,0.016927390148012658,0.012695542611009497,0.008463695074006336,0.004231847537003174,1.214306433183765e-17,-0.012761026359875477,-0.025522052719750964,-0.038283079079626456,-0.05104410543950194,-0.06380513179937743,-0.07656615815925291,-0.0893271845191284,-0.10208821087900388,-0.11484923723887937,-0.12761026359875485,-0.14037128995863035,-0.15313231631850585,-0.16589334267838135,-0.17865436903825685,-0.19141539539813235,-0.20417642175800785,-0.21693744811788335,-0.22969847447775885,-0.24245950083763435,-0.2552205271975098,-0.2679815535573853,-0.28074257991726076,-0.29350360627713623,-0.3062646326370117,-0.3190256589968872]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.38125000000000003,0.3848958333333333,0.3864583333333333,0.3885416666666667,0.3895833333333333,0.39166666666666666,0.39375,0.39687500000000003,0.4,0.403125,0.40625,0.41041666666666665,0.41458333333333336,0.41770833333333335,0.42083333333333334,0.4244791666666667,0.42864583333333334,0.43229166666666663,0.4348958333333333,0.4369791666666667,0.4395833333333333,0.4401041666666667,0.4401041666666667,0.4401041666666667,0.4401041666666667,0.4390625,0.43593750000000003,0.425,0.403125,0.3682291666666667,0.32395833333333335,0.271875,0.22083333333333333,0.16302083333333334,0.10625,0.04791666666666666,-0.0005208333333333333,-0.040624999999999994,-0.07239583333333334,-0.09895833333333334,-0.12031249999999999,-0.14427083333333332,-0.17083333333333334,-0.1953125,-0.21979166666666666,-0.23958333333333334,-0.24947916666666667,-0.25416666666666665,-0.271875,-0.2973958333333333,-0.32916666666666666]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-80,-9,2,hit,2,1,1,,0.04,-0.319025659,-0.297395833,-0.021629826,1.21431E-17,0.3,tilt,,,7.7935,[],[],[],[],[],[],0,0,0,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,10,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.05249319811555451,-0.05039347019093233,-0.04829374226631015,-0.04619401434168797,-0.04409428641706579,-0.04199455849244361,-0.03989483056782143,-0.03779510264319925,-0.03569537471857707,-0.03359564679395489,-0.03149591886933271,-0.029396190944710528,-0.027296463020088348,-0.025196735095466168,-0.023097007170843988,-0.020997279246221807,-0.018897551321599627,-0.016797823396977447,-0.014698095472355267,-0.012598367547733087,-0.010498639623110907,-0.008398911698488727,-0.006299183773866547,-0.004199455849244367,-0.0020997279246221866,-6.071532165918825e-18,0.01018739558903051,0.020374791178061027,0.03056218676709154,0.040749582356122055,0.05093697794515257,0.06112437353418308,0.0713117691232136,0.08149916471224412,0.09168656030127464,0.10187395589030517,0.11206135147933569,0.1222487470683662,0.13243614265739673,0.14262353824642723,0.15281093383545774,0.16299832942448825,0.17318572501351875,0.18337312060254926,0.19356051619157977,0.20374791178061027,0.21393530736964078,0.2241227029586713,0.2343100985477018,0.2444974941367323,0.2546848897257628]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49739583333333337,-0.4890625,-0.4729166666666667,-0.44687499999999997,-0.41145833333333337,-0.3645833333333333,-0.31093750000000003,-0.24947916666666667,-0.18020833333333333,-0.11562499999999999,-0.06145833333333334,-0.0265625,-0.0015625,0.0234375,0.04947916666666667,0.071875,0.09479166666666666,0.11770833333333333,0.1390625,0.15625,0.16249999999999998,0.16354166666666667,0.16614583333333335,0.16770833333333335,0.16822916666666665,0.17083333333333334,0.18333333333333335,0.19947916666666665,0.21614583333333331,0.23385416666666667,0.25520833333333337,0.2734375,0.28229166666666666,0.2828125]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",85,9,2,hit,2,2,1,,0.04,0.25468489,0.282291667,-0.027606777,-6.07153E-18,0.3,tilt,,,12.6443,[],[],[],[],[],[],1,0,1,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,5,[0.11574074074074074],[0.25462962962962965],[1],[0],[0],[0.8615000000000013],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1]","[0.1607695154586736,0.15433873484032665,0.1479079542219797,0.14147717360363274,0.13504639298528578,0.12861561236693883,0.12218483174859189,0.11575405113024495,0.10932327051189801,0.10289248989355107,0.09646170927520413,0.09003092865685719,0.08360014803851025,0.07716936742016331,0.07073858680181637,0.06430780618346943,0.05787702556512248,0.051446244946775535,0.04501546432842859,0.03858468371008164,0.032153903091734694,0.02572312247338775,0.019292341855040807,0.012861561236693863,0.0064307806183469185,-2.6020852139652106e-17,-0.015585782236740274,-0.031171564473480524,-0.046757346710220776]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228]","[0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06510416666666667,0.06302083333333333,0.058333333333333334,0.0515625,0.04375,0.03645833333333333,0.03333333333333333,0.0328125,0.0328125,0.0328125,0.0328125,0.0328125,0.0328125,0.0328125,0.0328125,0.03229166666666666,0.03229166666666666]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-75,-9,2,miss,2,3,1,,0.04,0.25468489,0.282291667,-0.027606777,-2.60209E-17,0.3,tilt,0.4624,,13.976,[0.05740740740740741],[0.325],[1],[0],[0],[0.46239999997615655],2,0,2,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.05740740740740741],[0.325],[1],[0],[0],[0],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1]","[0.21838214055972147,0.2096468549373326,0.20091156931494375,0.1921762836925549,0.18344099807016606,0.17470571244777722,0.16597042682538837,0.15723514120299953,0.14849985558061068,0.13976456995822184,0.131029284335833,0.12229399871344414,0.11355871309105528,0.10482342746866642,0.09608814184627756,0.0873528562238887,0.07861757060149985,0.06988228497911099,0.06114699935672213,0.05241171373433327,0.043676428111944415,0.03494114248955556,0.0262058568671667,0.01747057124477784,0.008735285622388983,1.249000902703301e-16,-0.018750855036161092,-0.03750171007232231,-0.056252565108483525,-0.07500342014464474]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001]","[0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03229166666666666,0.03072916666666667,0.028645833333333332,0.026041666666666664,0.022395833333333334,0.018229166666666664,0.015625,0.015104166666666667,0.014583333333333334,0.0140625,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-70,-9,2,miss,2,4,1,,0.04,0.25468489,0.282291667,-0.027606777,1.249E-16,0.3,tilt,0.4805,,14.4592,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.48049999999999926],3,0,3,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.00010000002384202844],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[-0.21838214055972147,-0.2096468549373326,-0.20091156931494375,-0.1921762836925549,-0.18344099807016606,-0.17470571244777722,-0.16597042682538837,-0.15723514120299953,-0.14849985558061068,-0.13976456995822184,-0.131029284335833,-0.12229399871344414,-0.11355871309105528,-0.10482342746866642,-0.09608814184627756,-0.0873528562238887,-0.07861757060149985,-0.06988228497911099,-0.06114699935672213,-0.05241171373433327,-0.043676428111944415,-0.03494114248955556,-0.0262058568671667,-0.01747057124477784,-0.008735285622388983,-1.249000902703301e-16]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004]","[0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",70,9,2,miss,2,5,1,,0.04,0.25468489,0.282291667,-0.027606777,-1.249E-16,0.3,tilt,0.4118,,14.8759,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.4118000000119224],4,0,4,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-0.21838214055972147,-0.2096468549373326,-0.20091156931494375,-0.1921762836925549,-0.18344099807016606,-0.17470571244777722,-0.16597042682538837,-0.15723514120299953,-0.14849985558061068,-0.13976456995822184,-0.131029284335833,-0.12229399871344414,-0.11355871309105528,-0.10482342746866642,-0.09608814184627756,-0.0873528562238887,-0.07861757060149985,-0.06988228497911099,-0.06114699935672213,-0.05241171373433327,-0.043676428111944415,-0.03494114248955556,-0.0262058568671667]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998]","[0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",70,9,2,miss,2,6,1,,0.04,0.25468489,0.282291667,-0.027606777,0,0,tilt,0.3643,0.3643,15.2425,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.3643000000119194],5,0,5,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.0007000000476864443],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.10579618842507904,0.10156434088807588,0.09733249335107272,0.09310064581406956,0.0888687982770664,0.08463695074006324,0.08040510320306007,0.07617325566605691,0.07194140812905375,0.06770956059205059,0.06347771305504743,0.05924586551804427,0.05501401798104111,0.05078217044403795,0.046550322907034786,0.042318475370031625,0.038086627833028464,0.0338547802960253,0.02962293275902214,0.02539108522201898,0.02115923768501582,0.016927390148012658,0.012695542611009497,0.008463695074006336]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252]","[0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-80,-9,2,miss,2,7,1,,0.04,0.25468489,0.282291667,-0.027606777,0,0,tilt,0.3787,0.3787,15.6264,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.37869999998807913],6,0,6,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.00030000001192220793],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-0.1607695154586736,-0.15433873484032665,-0.1479079542219797,-0.14147717360363274,-0.13504639298528578,-0.12861561236693883,-0.12218483174859189,-0.11575405113024495,-0.10932327051189801,-0.10289248989355107,-0.09646170927520413,-0.09003092865685719,-0.08360014803851025,-0.07716936742016331,-0.07073858680181637,-0.06430780618346943,-0.05787702556512248,-0.051446244946775535,-0.04501546432842859,-0.03858468371008164,-0.032153903091734694]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18]","[0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",75,9,2,miss,2,8,1,,0.04,0.25468489,0.282291667,-0.027606777,0,0,tilt,0.3229,0.3229,15.9598,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.3228999999761548],7,0,7,0,1,,,,,
,1,2022-10-27_16h06.20.209,bounceV3,2022.2.4,Win32,60.82725061,,0,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.0001999999880801795],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0.10579618842507904,0.10156434088807588,0.09733249335107272,0.09310064581406956,0.0888687982770664,0.08463695074006324,0.08040510320306007,0.07617325566605691,0.07194140812905375,0.06770956059205059,0.06347771305504743,0.05924586551804427,0.05501401798104111,0.05078217044403795,0.046550322907034786,0.042318475370031625,0.038086627833028464,0.0338547802960253,0.02962293275902214,0.02539108522201898,0.02115923768501582,0.016927390148012658,0.012695542611009497,0.008463695074006336,0.004231847537003174,1.214306433183765e-17]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004]","[0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667,0.013541666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-80,-9,2,miss,2,9,1,,0.04,0.25468489,0.282291667,-0.027606777,1.21431E-17,0.3,tilt,0.4106,,16.3758,[0.024074074074074074],[0.32407407407407407],[1],[0],[0],[0.410600000023841],8,0,8,0,1,,,,,
